no,fps
1,4.271072252669481
2,9.847355915967807
3,10.730633046112283
4,10.877936817098442
5,10.730633046112283
6,9.829862429398393
7,10.55043416140944
8,10.650090902627543
9,10.444712280736704
10,10.757770220013029
11,10.195196888672825
12,10.255272745054892
13,10.132857891774233
14,9.48660685003698
15,9.977648262245165
16,11.003819837971708
17,11.167567941764583
18,10.555691455895307
19,10.815915830733129
20,10.755122031273238
21,10.919851392479544
22,9.917652093929485
23,10.617093445926105
24,10.645765860889163
25,10.789428464122734
26,9.640017191726827
27,9.146206583744744
28,10.110922813978773
29,10.764506906339665
30,10.282979641470208
31,10.168921818441897
32,10.515940749952364
33,10.276731285649882
34,10.707457916153968
35,10.659428742791938
36,10.49552083437597
37,10.787180799489741
38,9.753719004420715
39,9.778299995337344
40,10.922894226963061
41,10.620346338980733
42,10.929155852954358
43,9.007262840969123
44,8.360866644473637
45,9.735403755541629
46,9.974231535692034
47,9.581571090150247
48,10.53940557437356
49,10.27726008600517
50,10.564066140264712
51,10.332910422574074
52,10.001416406952316
53,10.258960040895895
54,10.528426448181255
55,10.410414624157658
56,10.924629686063382
57,10.647090031705416
58,10.870184059255573
59,10.615911069714702
60,9.893929851130029
61,10.356306172839506
62,10.656666285554582
63,9.933318492063869
64,10.176076550380545
65,10.410802223987291
66,10.70699324798652
67,10.815943721972516
68,10.465143666976058
69,10.226866865304808
70,10.380553094388373
71,10.643712696414795
72,10.299948921456917
73,10.229610551783345
74,10.21443896499239
75,8.912161860666728
76,10.03251600804648
77,10.14933492071558
78,10.384896690889734
79,9.107934446734172
80,9.561519610636818
81,10.324516857970643
82,10.067602144911117
83,10.556355628264015
84,10.483715675443289
85,8.467183462532299
86,10.715226577149659
87,10.89687172812275
88,10.332045000504987
89,10.68664215592602
90,10.641093360327378
91,8.959029402027063
92,10.270716865625957
93,9.344556087779882
94,10.173164100113755
95,10.307770571653965
96,10.522404272880305
97,10.55686045516554
98,10.396428686511152
99,10.73530209725059
100,10.446038936942276
101,9.847055370998604
102,8.579343975257935
103,10.10473567937015
104,10.674756564983024
105,10.58771974110686
106,8.385086263769217
107,10.678833306175656
108,10.624516181328145
109,11.148866720360225
110,10.698608822524116
111,10.434656270913203
112,9.929438390572216
113,9.15924888247356
114,9.521732221258667
115,9.495734700161194
116,10.259612491652744
117,10.059223764332875
118,9.284383930369954
119,9.77069191239162
120,9.979048847163172
121,10.423790565090536
122,9.398726759780667
123,10.512250872197939
124,10.406850059424414
125,9.619036698299706
126,9.950285391648439
127,10.899845115955136
128,10.68612484076433
129,10.927248143101664
130,10.909342495753885
131,10.537446173480923
132,8.916538405938827
133,9.344472812985959
134,8.380897574231707
135,9.569634924582415
136,9.845529810263116
137,10.307466596546242
138,9.995910410341228
139,10.554097783145869
140,10.468800543120146
141,10.205541348425603
142,10.587238682774393
143,10.798845528999518
144,10.70486175803253
145,9.806305600692049
146,10.850162714775744
147,10.264709481319779
148,10.625458211840169
149,11.01260292387834
150,10.69839051141436
151,10.337902154436177
152,8.634554654786951
153,8.517408247518983
154,9.584110814818876
155,8.436137196967715
156,9.859161021291799
157,9.774631147445474
158,10.122733470899854
159,10.539485024914502
160,10.008623878168034
161,10.238825134811192
162,10.123832971276853
163,10.52232507965179
164,9.784185013599824
165,9.629880312523676
166,10.155109630433099
167,9.251943892372884
168,10.078003959787017
169,9.995862765845892
170,10.4368892660119
171,10.307263956434447
172,10.225246287704996
173,10.30212462849704
174,10.757356354561798
175,10.505589299803379
176,10.092481237382305
177,8.68659288223209
178,8.15874355896959
179,9.06094850064485
180,9.487572497534405
181,10.590179166582503
182,10.508063364491132
183,10.764147771746801
184,10.487333099964994
185,10.59796596465074
186,10.327109776065198
187,11.092784922945908
188,9.834633502390481
189,10.20405164423187
190,10.671334507078088
191,10.99926047528886
192,10.7178551533457
193,10.394419042662602
194,8.388020838541301
195,10.145971417236742
196,10.74817673498465
197,10.45593444698996
198,10.2462287865426
199,10.852970248353024
200,10.767297922426652
201,10.6011803510723
202,10.77033928988704
203,9.755942343163776
204,10.973476147369853
205,10.475938807368092
206,10.7733823759828
207,11.013470435937968
208,10.502564102564103
209,10.298001684291162
210,8.474471343653901
211,9.07241398703046
212,7.758077970986077
213,10.79845629825677
214,10.360859834692778
215,10.683947220948596
216,8.5611494051106
217,10.323627431193112
218,10.029613192026629
219,10.515993481258619
220,9.453209553495563
221,10.602145047256256
222,10.851145186285189
223,10.564465266233439
224,10.976577670538111
225,10.650415422430779
226,9.863450264205607
227,10.771805289461653
228,10.119827053736875
229,10.741102867927815
230,10.007382116381665
231,10.19314042135398
232,10.726983030907533
233,10.347440587940703
234,10.209988218225723
235,10.649306728076434
236,10.572347526239906
237,10.535302258872347
238,10.616045417384855
239,10.616502224899639
